File;Accuracy;Precision;Recall
rule_based_evaluation.txt;0.71;0.4888888888888889;0.38596491228070173

;Gold Standard Match; System Match;HLexLink;WikidataLinkGold;WikidataLinkSystem
True Positives
d3e311653Heiligenlexikon-1858;Q315312;Q315312;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e311653Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q315312;https://www.wikidata.org/wiki/Q315312
d5e145552Heiligenlexikon-1858;Q1989038;Q1989038;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e145552Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q1989038;https://www.wikidata.org/wiki/Q1989038
d3e123695Heiligenlexikon-1858;Q216946;Q216946;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e123695Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q216946;https://www.wikidata.org/wiki/Q216946
d3e89626Heiligenlexikon-1858;Q4828162;Q4828162;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e89626Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q4828162;https://www.wikidata.org/wiki/Q4828162
d3e305601Heiligenlexikon-1858;Q745899;Q745899;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e305601Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q745899;https://www.wikidata.org/wiki/Q745899
d3e349834Heiligenlexikon-1858;Q1236844;Q1236844;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e349834Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q1236844;https://www.wikidata.org/wiki/Q1236844
d3e118395Heiligenlexikon-1858;Q204996;Q204996;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e118395Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q204996;https://www.wikidata.org/wiki/Q204996
d3e548499Heiligenlexikon-1858;Q442235;Q442235;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e548499Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q442235;https://www.wikidata.org/wiki/Q442235
d3e228395Heiligenlexikon-1858;Q2389729;Q2389729;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e228395Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q2389729;https://www.wikidata.org/wiki/Q2389729
d3e19899Heiligenlexikon-1858;Q2720655;Q2720655;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e19899Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q2720655;https://www.wikidata.org/wiki/Q2720655
d3e229820Heiligenlexikon-1858;Q2186180;Q2186180;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e229820Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q2186180;https://www.wikidata.org/wiki/Q2186180
d5e391029Heiligenlexikon-1858;Q160686;Q160686;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e391029Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q160686;https://www.wikidata.org/wiki/Q160686
d3e192747Heiligenlexikon-1858;Q6955878;Q6955878;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e192747Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q6955878;https://www.wikidata.org/wiki/Q6955878
d3e306563Heiligenlexikon-1858;Q3553492;Q3553492;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e306563Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q3553492;https://www.wikidata.org/wiki/Q3553492
d5e139683Heiligenlexikon-1858;Q436718;Q436718;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e139683Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q436718;https://www.wikidata.org/wiki/Q436718
d3e543706Heiligenlexikon-1858;Q3218578;Q3218578;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e543706Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q3218578;https://www.wikidata.org/wiki/Q3218578
d3e21248Heiligenlexikon-1858;Q395171;Q395171;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e21248Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q395171;https://www.wikidata.org/wiki/Q395171
d3e334855Heiligenlexikon-1858;Q1545017;Q1545017;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e334855Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q1545017;https://www.wikidata.org/wiki/Q1545017
d5e142877Heiligenlexikon-1858;Q269867;Q269867;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e142877Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q269867;https://www.wikidata.org/wiki/Q269867
d3e207824Heiligenlexikon-1858;Q292219;Q292219;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e207824Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q292219;https://www.wikidata.org/wiki/Q292219
d5e282212Heiligenlexikon-1858;Q3821735;Q3821735;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e282212Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q3821735;https://www.wikidata.org/wiki/Q3821735
d5e276071Heiligenlexikon-1858;Q231300;Q231300;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e276071Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q231300;https://www.wikidata.org/wiki/Q231300

True Negatives
d3e25297Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e25297Heiligenlexikon-1858;;
d3e110973Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e110973Heiligenlexikon-1858;;
d3e139625Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e139625Heiligenlexikon-1858;;
d5e301884Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e301884Heiligenlexikon-1858;;
d3e239468Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e239468Heiligenlexikon-1858;;
d5e306463Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e306463Heiligenlexikon-1858;;
d3e49619Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e49619Heiligenlexikon-1858;;
d5e205231Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e205231Heiligenlexikon-1858;;
d3e389085Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e389085Heiligenlexikon-1858;;
d5e33411Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e33411Heiligenlexikon-1858;;
d3e137989Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e137989Heiligenlexikon-1858;;
d3e10136Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e10136Heiligenlexikon-1858;;
d5e315087Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e315087Heiligenlexikon-1858;;
d3e41473Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e41473Heiligenlexikon-1858;;
d3e165608Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e165608Heiligenlexikon-1858;;
d5e302380Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e302380Heiligenlexikon-1858;;
d3e68329Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e68329Heiligenlexikon-1858;;
d3e371904Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e371904Heiligenlexikon-1858;;
d3e102925Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e102925Heiligenlexikon-1858;;
d5e115514Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e115514Heiligenlexikon-1858;;
d3e349025Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e349025Heiligenlexikon-1858;;
d3e343025Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e343025Heiligenlexikon-1858;;
d5e317572Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e317572Heiligenlexikon-1858;;
d3e232852Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e232852Heiligenlexikon-1858;;
d3e489912Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e489912Heiligenlexikon-1858;;
d5e263160Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e263160Heiligenlexikon-1858;;
d3e31275Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e31275Heiligenlexikon-1858;;
d5e347300Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e347300Heiligenlexikon-1858;;
d3e233844Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e233844Heiligenlexikon-1858;;
d3e565650Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e565650Heiligenlexikon-1858;;
d5e287796Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e287796Heiligenlexikon-1858;;
d3e521565Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e521565Heiligenlexikon-1858;;
d3e56015Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e56015Heiligenlexikon-1858;;
d5e100189Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e100189Heiligenlexikon-1858;;
d3e413214Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e413214Heiligenlexikon-1858;;
d3e309420Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e309420Heiligenlexikon-1858;;
