SentenceLength;SimilarityThreshold;Accuracy
1;0.50;0.5231770833333333
1;0.51;0.5244791666666667
1;0.52;0.5229166666666667
1;0.53;0.521875
1;0.54;0.5221354166666666
1;0.55;0.5200520833333333
1;0.56;0.5203125
1;0.57;0.5174479166666667
1;0.58;0.5177083333333333
1;0.59;0.51484375
1;0.60;0.5151041666666667
1;0.61;0.5153645833333333
1;0.62;0.5135416666666667
1;0.63;0.5122395833333333
1;0.64;0.5104166666666666
1;0.65;0.5067708333333333
1;0.66;0.503125
1;0.67;0.5018229166666667
1;0.68;0.503125
1;0.69;0.49973958333333335
1;0.70;0.5010416666666667
1;0.71;0.4986979166666667
1;0.72;0.4979166666666667
1;0.73;0.49921875
1;0.74;0.5010416666666667
1;0.75;0.49921875
1;0.76;0.49973958333333335
1;0.77;0.5010416666666667
1;0.78;0.50078125
1;0.79;0.5013020833333334
1;0.80;0.5002604166666667
1;0.81;0.49973958333333335
1;0.82;0.5
1;0.83;0.5010416666666667
1;0.84;0.5010416666666667
1;0.85;0.5002604166666667
1;0.86;0.5005208333333333
1;0.87;0.5005208333333333
1;0.88;0.5005208333333333
1;0.89;0.5005208333333333
1;0.90;0.5005208333333333
1;0.91;0.5005208333333333
1;0.92;0.5005208333333333
1;0.93;0.5005208333333333
1;0.94;0.5005208333333333
1;0.95;0.5005208333333333
1;0.96;0.5005208333333333
1;0.97;0.5005208333333333
1;0.98;0.5005208333333333
1;0.99;0.5005208333333333
2;0.50;0.5494791666666666
2;0.51;0.5458333333333333
2;0.52;0.5432291666666667
2;0.53;0.5447916666666667
2;0.54;0.5510416666666667
2;0.55;0.5520833333333334
2;0.56;0.5513020833333333
2;0.57;0.5481770833333334
2;0.58;0.5489583333333333
2;0.59;0.5471354166666667
2;0.60;0.5427083333333333
2;0.61;0.54296875
2;0.62;0.5388020833333333
2;0.63;0.5375
2;0.64;0.5322916666666667
2;0.65;0.5309895833333333
2;0.66;0.5276041666666667
2;0.67;0.52265625
2;0.68;0.5223958333333333
2;0.69;0.51796875
2;0.70;0.51640625
2;0.71;0.5106770833333333
2;0.72;0.5080729166666667
2;0.73;0.5080729166666667
2;0.74;0.5065104166666666
2;0.75;0.5052083333333334
2;0.76;0.5033854166666667
2;0.77;0.50390625
2;0.78;0.50625
2;0.79;0.5059895833333333
2;0.80;0.5052083333333334
2;0.81;0.5059895833333333
2;0.82;0.5052083333333334
2;0.83;0.5052083333333334
2;0.84;0.503125
2;0.85;0.5033854166666667
2;0.86;0.5015625
2;0.87;0.5002604166666667
2;0.88;0.5005208333333333
2;0.89;0.5005208333333333
2;0.90;0.50078125
2;0.91;0.50078125
2;0.92;0.50078125
2;0.93;0.5005208333333333
2;0.94;0.5005208333333333
2;0.95;0.5005208333333333
2;0.96;0.5005208333333333
2;0.97;0.5005208333333333
2;0.98;0.5005208333333333
2;0.99;0.5005208333333333
3;0.50;0.5567708333333333
3;0.51;0.55703125
3;0.52;0.5549479166666667
3;0.53;0.5552083333333333
3;0.54;0.5497395833333333
3;0.55;0.55
3;0.56;0.55078125
3;0.57;0.55390625
3;0.58;0.5559895833333334
3;0.59;0.5596354166666667
3;0.60;0.5591145833333333
3;0.61;0.55546875
3;0.62;0.5520833333333334
3;0.63;0.5494791666666666
3;0.64;0.5484375
3;0.65;0.5455729166666666
3;0.66;0.54453125
3;0.67;0.5393229166666667
3;0.68;0.5356770833333333
3;0.69;0.5341145833333333
3;0.70;0.5348958333333333
3;0.71;0.5341145833333333
3;0.72;0.5317708333333333
3;0.73;0.5299479166666666
3;0.74;0.5268229166666667
3;0.75;0.5229166666666667
3;0.76;0.5184895833333333
3;0.77;0.5158854166666667
3;0.78;0.5104166666666666
3;0.79;0.5078125
3;0.80;0.50859375
3;0.81;0.5057291666666667
3;0.82;0.5036458333333333
3;0.83;0.5033854166666667
3;0.84;0.50234375
3;0.85;0.5036458333333333
3;0.86;0.5026041666666666
3;0.87;0.50234375
3;0.88;0.5010416666666667
3;0.89;0.5013020833333334
3;0.90;0.5010416666666667
3;0.91;0.5010416666666667
3;0.92;0.5010416666666667
3;0.93;0.50078125
3;0.94;0.5005208333333333
3;0.95;0.5005208333333333
3;0.96;0.5005208333333333
3;0.97;0.5005208333333333
3;0.98;0.5005208333333333
3;0.99;0.5005208333333333
4;0.50;0.5494791666666666
4;0.51;0.5510416666666667
4;0.52;0.5533854166666666
4;0.53;0.55390625
4;0.54;0.5552083333333333
4;0.55;0.5546875
4;0.56;0.5510416666666667
4;0.57;0.553125
4;0.58;0.5588541666666667
4;0.59;0.5580729166666667
4;0.60;0.5541666666666667
4;0.61;0.55546875
4;0.62;0.553125
4;0.63;0.553125
4;0.64;0.5515625
4;0.65;0.5486979166666667
4;0.66;0.5481770833333334
4;0.67;0.5494791666666666
4;0.68;0.5484375
4;0.69;0.5494791666666666
4;0.70;0.5515625
4;0.71;0.54765625
4;0.72;0.5419270833333333
4;0.73;0.5427083333333333
4;0.74;0.5421875
4;0.75;0.5377604166666666
4;0.76;0.53125
4;0.77;0.5296875
4;0.78;0.52421875
4;0.79;0.5216145833333333
4;0.80;0.5182291666666666
4;0.81;0.5151041666666667
